Notebook Link,status,additional_exclusion_columns,additional_key_columns,data_comparison_filter,environment,layer_name,source_table_name,target_table_name,note
https://adb-1406497925929477.17.azuredatabricks.net/jobs/166047425405562/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-29',dlsit,ingestion,hive_metastore.dlsit_persist_b2p_db.b2p_buyer_1_0,scbucudpsit.dlsit_persist_b2p_db.b2p_buyer_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/1075562920943686/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-31',dlsit,ingestion,hive_metastore.dlsit_persist_bancassurance_db.banc_chb_comm_il_deductions_detail,scbucudpsit.dlsit_persist_bancassurance_db.banc_chb_comm_il_deductions_detail,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/1085790074346561/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_bpl_db.bpl_perfectdel_1_0,scbucudpsit.dlsit_persist_bpl_db.bpl_perfectdel_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/783836872810892/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_bpl_db.bpl_uinfo_1_0,scbucudpsit.dlsit_persist_bpl_db.bpl_uinfo_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/535798289188838/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_bsb_db.bsb_instru_scbs_1_0,scbucudpsit.dlsit_persist_bsb_db.bsb_instru_scbs_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/1123048985540585/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_cn_db.ips_applicaprop_1_0,scbucudpsit.dlsit_persist_cn_db.ips_applicaprop_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/1092312370638488/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_cn_db.laps_customer_1_0,scbucudpsit.dlsit_persist_cn_db.laps_customer_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/726193546552095/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_cn_db.laps_feestrct_1_0,scbucudpsit.dlsit_persist_cn_db.laps_feestrct_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/157698286917373/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_cn_db.laps_float_1_0,scbucudpsit.dlsit_persist_cn_db.laps_float_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
https://adb-1406497925929477.17.azuredatabricks.net/jobs/744252727040112/runs/1,Succeeded,Empty,Empty,dl_data_dt = '2024-12-25',dlsit,ingestion,hive_metastore.dlsit_persist_cn_db.laps_tierd_1_0,scbucudpsit.dlsit_persist_cn_db.laps_tierd_1_0,Note: you may need to restart the kernel using dbutils.library.restartPython() to use updated packages.
